or (ug/ml),ug NO3-N/g dry soil,ug NH4-N/g dry soil,ug N/g dry soil
Sample,final_value,final_value,PAN
25_A10_T1_R1_D15,12.5563109,1.859844548,14.41615545
26_A10_T1_R2_D15,14.44647332,2.034299304,16.48077262
27_A10_T1_R3_D15,14.34905488,1.849005729,16.19806061
28_A10_T1_R4_D15,16.08249775,2.157173351,18.2396711
29_A10_T2_R1_D15,53.46177881,50.54300155,104.0047804
30_A10_T2_R2_D15,52.68291297,46.76650148,99.44941445
31_A10_T2_R3_D15,61.837471,42.66313457,104.5006056
32_A10_T2_R4_D15,47.34135928,49.75746255,97.09882183
33_A10_T3_R1_D15,45.07987024,15.92238524,61.00225548
34_A10_T3_R2_D15,37.86873709,17.65664588,55.52538297
35_A10_T3_R3_D15,40.2981062,17.20693473,57.50504093
36_A10_T3_R4_D15,38.33168009,23.92489404,62.25657413
37_A10_T4_R1_D15,10.32897998,9.97009169,20.29907167
38_A10_T4_R2_D15,8.448011779,7.821223809,16.26923559
39_A10_T4_R3_D15,11.49821346,7.635993039,19.1342065
40_A10_T4_R4_D15,5.833081752,7.008956963,12.84203872
41_A10_T5_R1_D15,7.126376249,2.609794545,9.736170794
42_A10_T5_R2_D15,10.43114696,3.842584906,14.27373187
43_A10_T5_R3_D15,2.496342862,3.120428578,5.61677144
44_A10_T5_R4_D15,14.08650615,2.728146128,16.81465228
45_A10_T6_R1_D15,14.53228166,2.790554699,17.32283636
46_A10_T6_R2_D15,13.70311269,3.435037032,17.13814972
47_A10_T6_R3_D15,20.20338747,4.125645012,24.32903248
48_A10_T6_R4_D15,16.11041627,4.425735044,20.53615131
169_B15_T1_R1_D15,20.72846239,1.875432311,22.6038947
170_B15_T1_R2_D15,18.03645428,2.359993769,20.39644805
171_B15_T1_R3_D15,18.66458951,1.794672068,20.45926158
172_B15_T1_R4_D15,18.21592149,2.126686401,20.34260789
173_B15_T2_R1_D15,73.75808516,34.20397931,107.9620645
174_B15_T2_R2_D15,44.90379619,55.42750525,100.3313014
175_B15_T2_R3_D15,56.44039673,33.46516453,89.90556126
176_B15_T2_R4_D15,82.76024504,10.09085881,92.85110385
177_B15_T3_R1_D15,51.99841993,7.566795159,59.56521509
178_B15_T3_R2_D15,54.32809825,9.402581669,63.73067991
179_B15_T3_R3_D15,61.28805112,3.140676119,64.42872724
180_B15_T3_R4_D15,51.98063443,3.691506072,55.6721405
181_B15_T4_R1_D15,11.97220537,8.238017503,20.21022287
182_B15_T4_R2_D15,17.50654609,11.54245158,29.04899767
183_B15_T4_R3_D15,15.11992284,8.936262091,24.05618494
184_B15_T4_R4_D15,17.19816803,5.758060677,22.9562287
185_B15_T5_R1_D15,5.125292287,7.305871188,12.43116347
186_B15_T5_R2_D15,9.692258234,2.297065201,11.98932343
187_B15_T5_R3_D15,10.07994856,3.421367156,13.50131572
188_B15_T5_R4_D15,13.56916153,2.868908437,16.43806996
189_B15_T6_R1_D15,15.31376801,2.190450361,17.50421837
190_B15_T6_R2_D15,16.438028,2.147395566,18.58542357
191_B15_T6_R3_D15,18.28543219,2.404534333,20.68996652
192_B15_T6_R4_D15,14.34764294,2.242413069,16.59005601
313_C20_T1_R1_D15,27.57083596,1.645059879,29.21589584
314_C20_T1_R2_D15,28.96003778,1.611843081,30.57188086
315_C20_T1_R3_D15,23.59096131,1.700077374,25.29103869
316_C20_T1_R4_D15,25.68321393,1.585274239,27.26848817
317_C20_T2_R1_D15,110.1229894,1.948403283,112.0713927
318_C20_T2_R2_D15,103.6001384,2.566585707,106.1667241
319_C20_T2_R3_D15,130.2262485,2.545707187,132.7719557
320_C20_T2_R4_D15,108.2237497,2.444333464,110.6680832
321_C20_T3_R1_D15,56.64640846,2.074629609,58.72103807
322_C20_T3_R2_D15,61.98596717,2.282688159,64.26865533
323_C20_T3_R3_D15,61.99396466,2.169788763,64.16375342
324_C20_T3_R4_D15,68.00806204,2.545707187,70.55376923
325_C20_T4_R1_D15,32.02145701,3.959836515,35.98129353
326_C20_T4_R2_D15,47.73774912,3.11756729,50.85531641
327_C20_T4_R3_D15,29.41706917,2.301790152,31.71885932
328_C20_T4_R4_D15,24.06851114,2.626524033,26.69503517
329_C20_T5_R1_D15,8.208317149,4.7085072,12.91682435
330_C20_T5_R2_D15,7.995542429,1.994290468,9.989832897
331_C20_T5_R3_D15,13.3949546,2.575952808,15.97090741
332_C20_T5_R4_D15,8.914570295,3.198216972,12.11278727
333_C20_T6_R1_D15,13.75343494,2.244484174,15.99791911
334_C20_T6_R2_D15,18.62444314,9.799322392,28.42376553
335_C20_T6_R3_D15,21.13764091,1.893197403,23.03083831
336_C20_T6_R4_D15,24.0005206,3.126267075,27.12678768
