or (ug/ml),ug NO3-N/g dry soil,ug NH4-N/g dry soil,ug N/g dry soil
Sample,final_value,final_value,PAN
73_A10_T1_R1_D57,23.89356739,0.7399873484,24.63355474
74_A10_T1_R2_D57,24.17189782,0.7030073867,24.8749052
75_A10_T1_R3_D57,24.54617169,0.5475684455,25.09374014
76_A10_T1_R4_D57,27.31052333,0.5252023717,27.8357257
77_A10_T2_R1_D57,140.7628538,1.25563109,142.0184849
78_A10_T2_R2_D57,121.7631323,9.188743233,130.9518755
79_A10_T2_R3_D57,158.3211156,2.147543113,160.4686587
80_A10_T2_R4_D57,130.2008201,0.7993097685,131.0001299
81_A10_T3_R1_D57,82.72374592,1.223040248,83.94678616
82_A10_T3_R2_D57,74.26620015,0.9539595937,75.22015974
83_A10_T3_R3_D57,69.10691415,0.9440835267,70.05099768
84_A10_T3_R4_D57,73.99873484,0.8291424506,74.82787729
85_A10_T4_R1_D57,34.17582367,1.25563109,35.43145476
86_A10_T4_R2_D57,34.94880007,0.80239592,35.75119599
87_A10_T4_R3_D57,37.38570766,1.047932715,38.43364037
88_A10_T4_R4_D57,48.24266821,1.170663573,49.41333179
89_A10_T5_R1_D57,14.93784996,0.8648228925,15.80267285
90_A10_T5_R2_D57,8.558889813,0.8469734711,9.405863284
91_A10_T5_R3_D57,9.62875104,0.9182975529,10.54704859
92_A10_T5_R4_D57,10.53730502,0.6903751562,11.22768017
93_A10_T6_R1_D57,18.51771985,1.018474592,19.53619444
94_A10_T6_R2_D57,25.49025522,0.8968793503,26.38713457
95_A10_T6_R3_D57,18.10484777,3.072045978,21.17689374
96_A10_T6_R4_D57,26.81197216,0.7930301624,27.60500232
217_B15_T1_R1_D57,40.15625827,11.23583975,51.39209802
218_B15_T1_R2_D57,43.05245521,1.006421031,44.05887624
219_B15_T1_R3_D57,37.75941747,0.7314172875,38.49083475
220_B15_T1_R4_D57,37.23944541,0.7268421875,37.9662876
221_B15_T2_R1_D57,158.37981,0.9601495564,159.3399596
222_B15_T2_R2_D57,147.1316263,2.043984269,149.1756105
223_B15_T2_R3_D57,151.9746091,1.133994213,153.1086033
224_B15_T2_R4_D57,169.6255737,1.394589265,171.020163
225_B15_T3_R1_D57,87.7700745,0.9142716094,88.68434611
226_B15_T3_R2_D57,88.71415014,2.665151989,91.37930213
227_B15_T3_R3_D57,95.44995602,0.9416997577,96.39165578
228_B15_T3_R4_D57,91.01016163,1.048422966,92.0585846
229_B15_T4_R1_D57,65.98897489,1.039612689,67.02858758
230_B15_T4_R2_D57,66.34138597,1.224628506,67.56601448
231_B15_T4_R3_D57,53.75042844,0.7806823496,54.53111079
232_B15_T4_R4_D57,58.60481016,0.877700745,59.48251091
233_B15_T5_R1_D57,22.76536307,0.7954163002,23.56077937
234_B15_T5_R2_D57,27.21064269,0.7268596335,27.93750232
235_B15_T5_R3_D57,30.26555426,1.236338001,31.50189226
236_B15_T5_R4_D57,30.28581806,0.9411900382,31.2270081
237_B15_T6_R1_D57,38.57947285,0.8293654792,39.40883833
238_B15_T6_R2_D57,43.04292882,0.8646592765,43.9075881
239_B15_T6_R3_D57,36.83058129,0.8529187245,37.68350001
240_B15_T6_R4_D57,35.06490255,1.039612689,36.10451523
361_C20_T1_R1_D57,52.02440414,0.399438309,52.42384245
362_C20_T1_R2_D57,50.207662,0.7493680896,50.95703009
363_C20_T1_R3_D57,45.16703139,0.3542512266,45.52128262
364_C20_T1_R4_D57,53.3148096,0.6907898919,54.0055995
365_C20_T2_R1_D57,201.4194747,0.9741739034,202.3936486
366_C20_T2_R2_D57,160.3703625,0.8087445216,161.179107
367_C20_T2_R3_D57,215.3282289,1.240687618,216.5689165
368_C20_T2_R4_D57,198.9120637,0.9830471538,199.8951109
369_C20_T3_R1_D57,109.9950059,0.6022270852,110.5972329
370_C20_T3_R2_D57,137.3027631,1.020120931,138.322884
371_C20_T3_R3_D57,123.2710507,1.770382112,125.0414328
372_C20_T3_R4_D57,118.8852967,0.9651537747,119.8504505
373_C20_T4_R1_D57,98.22472841,8.639401719,106.8641301
374_C20_T4_R2_D57,94.50125846,5.348576381,99.84983484
375_C20_T4_R3_D57,90.11108607,0.7757310712,90.88681714
376_C20_T4_R4_D57,73.63818288,2.024811254,75.66299414
377_C20_T5_R1_D57,47.44547719,0.8573310046,48.30280819
378_C20_T5_R2_D57,38.96763493,1.275304416,40.24293934
379_C20_T5_R3_D57,47.6785447,0.6182286739,48.29677337
380_C20_T5_R4_D57,53.48742177,0.9925500947,54.47997186
381_C20_T6_R1_D57,58.7258806,0.7076514564,59.43353206
382_C20_T6_R2_D57,50.66046845,0.8475886068,51.50805706
383_C20_T6_R3_D57,56.8583038,0.7212667862,57.57957058
384_C20_T6_R4_D57,56.67096177,0.9086088086,57.57957058
