or (ug/ml),ug NO3-N/g dry soil,ug NH4-N/g dry soil,ug N/g dry soil
Sample,final_value,final_value,PAN
97_A10_T1_R1_D85,26.66005507,1.409819861,28.06987493
98_A10_T1_R2_D85,24.87239855,0.966326295,25.83872484
99_A10_T1_R3_D85,23.42538791,1.001457104,24.42684501
100_A10_T1_R4_D85,30.56621247,1.889706013,32.45591848
101_A10_T2_R1_D85,137.2431648,1.523956462,138.7671213
102_A10_T2_R2_D85,79.07156958,1.628456334,80.70002592
103_A10_T2_R3_D85,133.8439405,1.436893198,135.2808337
104_A10_T2_R4_D85,128.40796,3.196381787,131.6043418
105_A10_T3_R1_D85,85.94280577,1.274291323,87.21709709
106_A10_T3_R2_D85,85.65537164,0.6419362304,86.29730787
107_A10_T3_R3_D85,85.51572834,0.6357075528,86.15143589
108_A10_T3_R4_D85,93.32028185,0.7952344347,94.11551628
109_A10_T4_R1_D85,47.25486619,0.7092835665,47.96414975
110_A10_T4_R2_D85,50.769521,0.8621239415,51.63164494
111_A10_T4_R3_D85,57.30076298,0.8098740056,58.11063699
112_A10_T4_R4_D85,46.12249771,1.099844176,47.22234189
113_A10_T5_R1_D85,13.82707941,0.8856560668,14.71273548
114_A10_T5_R2_D85,14.63502331,0.7627951545,15.39781847
115_A10_T5_R3_D85,7.420161663,0.751408776,8.171570439
116_A10_T5_R4_D85,6.326114763,0.6597233967,6.98583816
117_A10_T6_R1_D85,23.66937644,0.7138383372,24.38321478
118_A10_T6_R2_D85,18.97563827,0.8750901146,19.85072839
119_A10_T6_R3_D85,17.98207192,0.8486865721,18.8307585
120_A10_T6_R4_D85,23.077055,0.6705408434,23.74759584
241_B15_T1_R1_D85,40.28520985,0.6028428077,40.88805266
242_B15_T1_R2_D85,43.33057263,0.8555718163,44.18614445
243_B15_T1_R3_D85,49.5670753,0.8324972106,50.39957251
244_B15_T1_R4_D85,38.62230724,0.5403579683,39.16266521
245_B15_T2_R1_D85,132.0156512,0.6531784834,132.6688297
246_B15_T2_R2_D85,148.7208381,1.12192913,149.8427673
247_B15_T2_R3_D85,157.769756,1.028933191,158.7986892
248_B15_T2_R4_D85,151.6675953,0.9760312125,152.6436265
249_B15_T3_R1_D85,90.22943483,1.015569396,91.24500423
250_B15_T3_R2_D85,89.20972318,0.9286816609,90.13840484
251_B15_T3_R3_D85,88.79970247,1.043013747,89.84271622
252_B15_T3_R4_D85,88.9283045,2.410820069,91.33912457
253_B15_T4_R1_D85,70.31043474,0.8484185964,71.15885334
254_B15_T4_R2_D85,64.89499689,1.037958921,65.93295582
255_B15_T4_R3_D85,66.50408752,1.138703081,67.6427906
256_B15_T4_R4_D85,69.4030578,1.095837755,70.49889555
257_B15_T5_R1_D85,30.91098175,0.7727745437,31.68375629
258_B15_T5_R2_D85,37.41452981,0.8803418779,38.29487169
259_B15_T5_R3_D85,40.92547235,0.9124077169,41.83788007
260_B15_T5_R4_D85,38.08435515,0.755945743,38.8403009
261_B15_T6_R1_D85,44.13820838,0.6835563245,44.82176471
262_B15_T6_R2_D85,47.0791526,1.521460419,48.60061302
263_B15_T6_R3_D85,55.41798066,0.8754957856,56.29347644
264_B15_T6_R4_D85,45.90648778,0.9475687858,46.85405656
385_C20_T1_R1_D85,36.8832623,0.4728623372,37.35612464
386_C20_T1_R2_D85,50.23445066,0.5676209114,50.80207157
387_C20_T1_R3_D85,52.27278201,1.986021816,54.25880382
388_C20_T1_R4_D85,53.64838153,0.4900573313,54.13843886
389_C20_T2_R1_D85,214.1822906,0.8798124126,215.062103
390_C20_T2_R2_D85,175.7417808,0.4729726027,176.2147534
391_C20_T2_R3_D85,166.2086792,0.3502817265,166.558961
392_C20_T2_R4_D85,194.2063097,0.6923877127,194.8986974
393_C20_T3_R1_D85,115.5053004,0.3910809383,115.8963813
394_C20_T3_R2_D85,117.5061796,0.5456943325,118.0518739
395_C20_T3_R3_D85,93.94126083,0.6622243966,94.60348523
396_C20_T3_R4_D85,104.9969475,0.6480211941,105.6449687
397_C20_T4_R1_D85,91.13095353,1.08229376,92.21324729
398_C20_T4_R2_D85,30.91236237,0.85819023,31.7705526
399_C20_T4_R3_D85,62.94727549,0.5985783866,63.54585388
400_C20_T4_R4_D85,64.59470735,1.207456621,65.80216397
401_C20_T5_R1_D85,64.39525283,1.014504651,65.40975748
402_C20_T5_R2_D85,70.75721461,1.213490692,71.9707053
403_C20_T5_R3_D85,60.49608008,1.249181595,61.74526168
404_C20_T5_R4_D85,67.4043768,1.667914426,69.07229122
405_C20_T6_R1_D85,71.84975378,0.9640599875,72.81381377
406_C20_T6_R2_D85,73.5085997,1.556146964,75.06474666
407_C20_T6_R3_D85,69.39412929,1.355140926,70.74927021
408_C20_T6_R4_D85,76.44898682,1.681352287,78.13033911
