or (ug/ml),ug NO3-N/g dry soil,ug NH4-N/g dry soil,ug N/g dry soil
Sample,final_value,final_value,PAN
121_A10_T1_R1_D112,32.01481029,1.033548994,33.04835929
122_A10_T1_R2_D112,36.10898157,0.37767047,36.48665204
123_A10_T1_R3_D112,30.61903422,0.427640143,31.04667436
124_A10_T1_R4_D112,32.64053684,1.241759554,33.8822964
125_A10_T2_R1_D112,188.5106082,3.402577367,191.9131855
126_A10_T2_R2_D112,157.4241059,3.196381787,160.6204877
127_A10_T2_R3_D112,157.2398764,2.302868723,159.5427451
128_A10_T2_R4_D112,174.7243033,1.906616628,176.6309199
129_A10_T3_R1_D112,97.22082811,1.327648301,98.54847641
130_A10_T3_R2_D112,97.33179428,0.732021851,98.06381613
131_A10_T3_R3_D112,84.90614575,0.670540843,85.5766866
132_A10_T3_R4_D112,105.3792727,0.626380293,106.005653
133_A10_T4_R1_D112,48.93549654,0.657482679,49.59297921
134_A10_T4_R2_D112,53.21826659,0.824883132,54.04314972
135_A10_T4_R3_D112,47.53623379,0.65068609,48.18691988
136_A10_T4_R4_D112,56.25576426,0.879540587,57.13530485
137_A10_T5_R1_D112,19.51336442,0.709576888,20.2229413
138_A10_T5_R2_D112,20.47588915,0.572949192,21.04883834
139_A10_T5_R3_D112,26.06847394,0.718495041,26.78696898
140_A10_T5_R4_D112,17.18847575,0.704445727,17.89292148
141_A10_T6_R1_D112,28.19639723,0.759133772,28.955531
142_A10_T6_R2_D112,28.01565109,0.397641499,28.41329259
143_A10_T6_R3_D112,36.74912155,0.870832264,37.61995381
144_A10_T6_R4_D112,30.33441196,0.789404288,31.12381624
265_B15_T1_R1_D112,53.1220915,0.55661015,53.67870165
266_B15_T1_R2_D112,58.41807563,0.653178483,59.07125411
267_B15_T1_R3_D112,46.27447565,0.294390302,46.56886596
268_B15_T1_R4_D112,51.66092272,0.391370627,52.05229335
269_B15_T2_R1_D112,193.3370896,1.05235213,194.3894417
270_B15_T2_R2_D112,172.9543026,0.809573332,173.763876
271_B15_T2_R3_D112,148.2024825,0.72205838,148.9245409
272_B15_T2_R4_D112,152.7153474,0.604723893,153.3200712
273_B15_T3_R1_D112,118.7586851,0.844256055,119.6029412
274_B15_T3_R2_D112,106.4394848,0.54684506,106.9863299
275_B15_T3_R3_D112,123.3435522,0.650687475,123.9942397
276_B15_T3_R4_D112,101.9004889,0.911598705,102.8120876
277_B15_T4_R1_D112,76.62453157,0.690949533,77.3154811
278_B15_T4_R2_D112,70.4467128,0.513130377,70.95984318
279_B15_T4_R3_D112,87.67311193,0.699176968,88.37228889
280_B15_T4_R4_D112,84.48083045,0.794264218,85.27509467
281_B15_T5_R1_D112,32.13159791,1.06503611,33.19663402
282_B15_T5_R2_D112,58.32607866,0.919969695,59.24604835
283_B15_T5_R3_D112,36.35398266,0.487039002,36.84102166
284_B15_T5_R4_D112,49.22572771,0.608798753,49.83452646
285_B15_T6_R1_D112,49.43588235,0.525314879,49.96119723
286_B15_T6_R2_D112,55.63029575,0.584649605,56.21494535
287_B15_T6_R3_D112,45.26105525,0.411464139,45.67251938
288_B15_T6_R4_D112,57.86609381,0.772774544,58.63886835
409_C20_T1_R1_D112,64.95744292,0.39259993,65.35004285
410_C20_T1_R2_D112,70.5854507,0.593227296,71.178678
411_C20_T1_R3_D112,65.51292745,0.765177237,66.27810468
412_C20_T1_R4_D112,74.9259603,0.870352064,75.79631237
413_C20_T2_R1_D112,240.2037139,0.94614003,241.1498539
414_C20_T2_R2_D112,149.7573171,0.491938123,150.2492552
415_C20_T2_R3_D112,240.9938279,0.928246575,241.9220744
416_C20_T2_R4_D112,232.5766667,0.782013699,233.3586804
417_C20_T3_R1_D112,149.2473999,0.727592443,149.9749924
418_C20_T3_R2_D112,153.0205479,0.732643836,153.7531918
419_C20_T3_R3_D112,151.5738728,0.894139692,152.4680125
420_C20_T3_R4_D112,144.5277169,0.91717656,145.4448935
421_C20_T4_R1_D112,138.6458904,0.973767123,139.6196575
422_C20_T4_R2_D112,108.3284627,0.601824793,108.9302875
423_C20_T4_R3_D112,134.526156,0.737907185,135.2640632
424_C20_T4_R4_D112,124.2712329,1.020136986,125.2913699
425_C20_T5_R1_D112,77.80734822,1.607731947,79.41508016
426_C20_T5_R2_D112,82.44999662,0.911334686,83.3613313
427_C20_T5_R3_D112,74.85107261,1.609798281,76.46087089
428_C20_T5_R4_D112,80.38965624,1.112144482,81.50180072
429_C20_T6_R1_D112,129.5642804,1.401392018,130.9656724
430_C20_T6_R2_D112,87.95240487,1.274392694,89.22679756
431_C20_T6_R3_D112,84.08352106,1.59913445,85.6826555
432_C20_T6_R4_D112,88.31153281,1.246002059,89.55753487
